// Old Violet Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_VioletBox,501,14	// Red Potion
IG_VioletBox,723,14	// Ruby
IG_VioletBox,724,14	// Cursed Ruby
IG_VioletBox,725,14	// Sardonyx
IG_VioletBox,726,14	// Sapphire
IG_VioletBox,727,14	// Opal
IG_VioletBox,728,14	// Topaz
IG_VioletBox,729,14	// Zircon
IG_VioletBox,730,14	// 1carat Diamond
IG_VioletBox,731,14	// 2carat Diamond
IG_VioletBox,732,14	// 3carat Diamond
IG_VioletBox,733,14	// Cracked Diamond
IG_VioletBox,734,14	// Red Frame
IG_VioletBox,735,14	// Chung Jah
IG_VioletBox,736,14	// China
IG_VioletBox,737,14	// Black Ladle
IG_VioletBox,738,14	// Pencil Case
IG_VioletBox,739,14	// Rouge
IG_VioletBox,740,14	// Puppet
IG_VioletBox,741,14	// Poring Doll
IG_VioletBox,742,14	// Chonchon Doll
IG_VioletBox,743,14	// Spore Doll
IG_VioletBox,744,14	// Bouquet
IG_VioletBox,745,14	// Wedding Bouquet
IG_VioletBox,746,14	// Glass Bead
IG_VioletBox,747,14	// Crystal Mirror
IG_VioletBox,748,14	// Witherless Rose
IG_VioletBox,749,14	// Frozen Rose
IG_VioletBox,750,14	// Baphomet Doll
IG_VioletBox,751,14	// Osiris Doll
IG_VioletBox,752,14	// Grasshopper Doll
IG_VioletBox,753,14	// Yoyo Doll
IG_VioletBox,754,14	// Raccoon Doll
IG_VioletBox,901,14	// Danggie
IG_VioletBox,902,14	// Tree Root
IG_VioletBox,903,14	// Reptile Tongue
IG_VioletBox,904,14	// Scorpion Tail
IG_VioletBox,905,14	// Stem
IG_VioletBox,906,14	// Pointed Scale
IG_VioletBox,907,14	// Resin
IG_VioletBox,908,14	// Spawn
IG_VioletBox,909,14	// Jellopy
IG_VioletBox,910,14	// Garlet
IG_VioletBox,911,14	// Scell
IG_VioletBox,912,14	// Zargon
IG_VioletBox,913,14	// Tooth of Bat
IG_VioletBox,914,14	// Fluff
IG_VioletBox,915,14	// Chrysalis
IG_VioletBox,916,14	// Feather of Birds
IG_VioletBox,917,14	// Talon
IG_VioletBox,918,14	// Sticky Webfoot
IG_VioletBox,919,14	// Animal Skin
IG_VioletBox,920,14	// Wolf Claw
IG_VioletBox,921,14	// Mushroom Spore
IG_VioletBox,922,14	// Orc's Fang
IG_VioletBox,923,14	// Evil Horn

IG_VioletBox,1015,14	// Tongue

IG_VioletBox,1019,14	// Trunk
IG_VioletBox,1020,14	// Black Hair

IG_VioletBox,1022,14	// Nine Tails

IG_VioletBox,1034,14	// Blue Hair

IG_VioletBox,1102,7	// Sword
IG_VioletBox,1105,7	// Falchion
IG_VioletBox,1108,7	// Blade
IG_VioletBox,1111,7	// Rapier
IG_VioletBox,1114,7	// Scimitar
IG_VioletBox,1117,7	// Katana
IG_VioletBox,1120,7	// Tsurugi
IG_VioletBox,1124,7	// Orcish sword
IG_VioletBox,1125,7	// Ring Pommel Saber
IG_VioletBox,1127,7	// Saber

IG_VioletBox,1129,7	// Flamberge

IG_VioletBox,1152,7	// Slayer
IG_VioletBox,1155,7	// Bastard Sword
IG_VioletBox,1158,7	// Two-Handed Sword
IG_VioletBox,1162,7	// Broad Sword
IG_VioletBox,1163,7	// Claymore
IG_VioletBox,1202,7	// Knife
IG_VioletBox,1205,7	// Cutter
IG_VioletBox,1208,7	// Main Gauche
IG_VioletBox,1211,7	// Dirk
IG_VioletBox,1214,7	// Dagger
IG_VioletBox,1217,7	// Stiletto
IG_VioletBox,1220,7	// Gladius
IG_VioletBox,1226,7	// Damascus

IG_VioletBox,1251,7	// Jur
IG_VioletBox,1253,7	// Katar
IG_VioletBox,1255,7	// Jamadhar
IG_VioletBox,1256,7	// Katar of Frozen Icicle
IG_VioletBox,1257,7	// Katar of Quaking
IG_VioletBox,1258,7	// Katar of Raging Blaze
IG_VioletBox,1259,7	// Katar of Piercing Wind

IG_VioletBox,1302,7	// Axe
IG_VioletBox,1304,7	// Orcish Axe

IG_VioletBox,1352,7	// Battle Axe
IG_VioletBox,1355,7	// Hammer
IG_VioletBox,1358,7	// Buster
IG_VioletBox,1361,7	// Two-Handed Axe

IG_VioletBox,1402,7	// Javelin
IG_VioletBox,1405,7	// Spear
IG_VioletBox,1408,7	// Pike
IG_VioletBox,1411,7	// Lance
IG_VioletBox,1452,7	// Guisarme
IG_VioletBox,1455,7	// Glaive
IG_VioletBox,1458,7	// Partizan
IG_VioletBox,1461,7	// Trident
IG_VioletBox,1464,7	// Halberd
IG_VioletBox,1472,7	// Soul Staff

IG_VioletBox,1502,7	// Club
IG_VioletBox,1505,7	// Mace
IG_VioletBox,1508,7	// Smasher
IG_VioletBox,1511,7	// Flail
IG_VioletBox,1514,7	// Morning Star
IG_VioletBox,1517,7	// Sword Mace
IG_VioletBox,1520,7	// Chain
IG_VioletBox,1522,7	// Stunner
IG_VioletBox,1550,7	// Book
IG_VioletBox,1551,7	// Bible

IG_VioletBox,1558,7	// Girl's Diary

IG_VioletBox,1602,7	// Rod
IG_VioletBox,1605,7	// Wand
IG_VioletBox,1608,7	// Staff
IG_VioletBox,1611,7	// Arc Wand
IG_VioletBox,1613,7	// Mighty Staff
IG_VioletBox,1614,7	// Wand of Occult
IG_VioletBox,1615,7	// Evil Bone Wand
IG_VioletBox,1616,1	// Wing Staff
IG_VioletBox,1618,1	// Survivor's Rod
IG_VioletBox,1620,1	// Survivor's Rod

IG_VioletBox,1702,7	// Bow
IG_VioletBox,1705,7	// Composite Bow
IG_VioletBox,1708,7	// Great Bow
IG_VioletBox,1711,7	// Crossbow
IG_VioletBox,1715,7	// Arbalest

IG_VioletBox,1750,14	// Arrow

IG_VioletBox,2102,7	// Guard
IG_VioletBox,2104,7	// Buckler
IG_VioletBox,2106,7	// Shield
IG_VioletBox,2108,7	// Mirror Shield

IG_VioletBox,2201,7	// Sunglasses
IG_VioletBox,2203,7	// Glasses
IG_VioletBox,2205,7	// Diver Goggles
IG_VioletBox,2206,7	// Wedding Veil
IG_VioletBox,2207,7	// Fancy Flower
IG_VioletBox,2208,7	// Ribbon
IG_VioletBox,2209,7	// Ribbon
IG_VioletBox,2210,7	// Hair Band
IG_VioletBox,2211,7	// Bandana
IG_VioletBox,2212,7	// Eye Patch
IG_VioletBox,2213,7	// Kitty Band
IG_VioletBox,2214,7	// Bunny Band
IG_VioletBox,2215,7	// Flower Band
IG_VioletBox,2216,7	// Biretta
IG_VioletBox,2217,7	// Biretta
IG_VioletBox,2218,7	// Flu Mask
IG_VioletBox,2220,7	// Hat
IG_VioletBox,2221,7	// Hat
IG_VioletBox,2222,7	// Turban
IG_VioletBox,2223,7	// Turban
IG_VioletBox,2224,7	// Goggles
IG_VioletBox,2225,7	// Goggles
IG_VioletBox,2226,7	// Cap
IG_VioletBox,2227,7	// Cap
IG_VioletBox,2228,7	// Helm
IG_VioletBox,2229,7	// Helm

IG_VioletBox,2232,7	// Circlet
IG_VioletBox,2233,7	// Circlet
IG_VioletBox,2236,7	// Santa Hat

IG_VioletBox,2241,7	// Grandpa Beard
IG_VioletBox,2242,7	// Purple Glasses
IG_VioletBox,2243,7	// Geek Glasses

IG_VioletBox,2254,1	// Angel Wing

IG_VioletBox,2268,7	// Pipe
IG_VioletBox,2269,7	// Romantic Flower
IG_VioletBox,2270,7	// Romantic Leaf

IG_VioletBox,2274,1	// Ghost Bandana

IG_VioletBox,2277,7	// Nurse Cap
IG_VioletBox,2278,7	// Mr. Smile
IG_VioletBox,2279,7	// Bomb Wick
IG_VioletBox,2282,7	// Halo
IG_VioletBox,2285,7	// Apple of Archer
IG_VioletBox,2286,1	// Elven Ears
IG_VioletBox,2287,7	// Pirate Bandana
IG_VioletBox,2288,7	// Mr. Scream
IG_VioletBox,2289,7	// Poo Poo Hat
IG_VioletBox,2290,7	// Funeral Hat
IG_VioletBox,2291,7	// Masquerade
IG_VioletBox,2294,7	// Stellar
IG_VioletBox,2295,7	// Blinker
IG_VioletBox,2297,7	// Goblin Mask
IG_VioletBox,2298,7	// Green Feeler
IG_VioletBox,2299,7	// Orc Helm
IG_VioletBox,2304,7	// Jacket
IG_VioletBox,2308,7	// Mantle
IG_VioletBox,2310,7	// Coat
IG_VioletBox,2311,7	// Mink Coat
IG_VioletBox,2313,7	// Padded Armor
IG_VioletBox,2315,7	// Chain Mail
IG_VioletBox,2317,7	// Full Plate
IG_VioletBox,2318,7	// Lord's Clothes
IG_VioletBox,2320,7	// Formal Suit
IG_VioletBox,2322,7	// Silk Robe
IG_VioletBox,2324,7	// Scapulare
IG_VioletBox,2326,7	// Saint's Robe
IG_VioletBox,2331,7	// Tights
IG_VioletBox,2333,7	// Silver Robe
IG_VioletBox,2336,7	// Thief Clothes
IG_VioletBox,2337,7	// Ninja Suit
IG_VioletBox,2402,7	// Sandals
IG_VioletBox,2404,7	// Shoes
IG_VioletBox,2406,7	// Boots
IG_VioletBox,2502,7	// Hood
IG_VioletBox,2504,7	// Muffler
IG_VioletBox,2506,7	// Manteau
IG_VioletBox,2601,7	// Ring
IG_VioletBox,2602,7	// Earring
IG_VioletBox,2603,7	// Necklace
IG_VioletBox,2604,7	// Glove
IG_VioletBox,2605,7	// Brooch
IG_VioletBox,2607,7	// Clip
IG_VioletBox,2608,7	// Rosary
IG_VioletBox,2609,7	// Skull Ring
IG_VioletBox,2610,7	// Gold Ring
IG_VioletBox,2611,7	// Silver Ring
IG_VioletBox,2618,7	// Matyr's Leash
IG_VioletBox,2621,1	// Ring
IG_VioletBox,2622,1	// Earring
IG_VioletBox,2623,1	// Necklace
IG_VioletBox,2624,1	// Glove
IG_VioletBox,2625,1	// Brooch
IG_VioletBox,2626,1	// Rosary
IG_VioletBox,2627,7	// Belt
IG_VioletBox,5005,7	// Gas Mask
IG_VioletBox,5006,7	// Machoman's Glasses
IG_VioletBox,5009,7	// Safety Helmet
IG_VioletBox,5017,1	// Bone Helm
IG_VioletBox,5030,7	// Panda Hat
IG_VioletBox,5113,1	// Angry Snarl

IG_VioletBox,2615,2	// Safety Ring
IG_VioletBox,989,10	// Emperium Anvil
IG_VioletBox,2258,2    // Spiky Band
IG_VioletBox,2249,2    // Coronet
IG_VioletBox,5053,2 	// Sphinx hat
IG_VioletBox,5007,2	// Grand Cirlet
IG_VioletBox,5019,2	// Corsair
